Date,Mnly Chng
1/9/2015,268
2/6/2015,191
3/6/2015,271
4/3/2015,71
5/8/2015,284
6/5/2015,331
7/2/2015,174
8/7/2015,302
9/4/2015,125
10/2/2015,155
11/6/2015,306
12/4/2015,237
1/8/2016,273
2/5/2016,108
3/4/2016,212
4/1/2016,237
5/6/2016,197
6/3/2016,41
7/8/2016,258
8/5/2016,371
9/2/2016,143
10/7/2016,289
11/4/2016,118
12/2/2016,130
1/6/2017,214
2/3/2017,197
3/10/2017,183
4/7/2017,139
5/5/2017,220
6/2/2017,141
7/7/2017,211
8/4/2017,228
9/1/2017,190
10/6/2017,42
11/3/2017,249
12/8/2017,196
1/5/2018,179
2/2/2018,81
3/9/2018,378
4/6/2018,195
5/4/2018,153
6/1/2018,270
7/6/2018,214
8/3/2018,149
9/7/2018,229
10/5/2018,105
11/2/2018,212
12/7/2018,92
1/4/2019,240
2/1/2019,237
3/8/2019,-50
4/5/2019,168
5/3/2019,219
6/7/2019,63
7/5/2019,175
8/2/2019,193
9/6/2019,195
10/4/2019,221
11/1/2019,195
12/6/2019,234
1/10/2020,161
2/7/2020,315
3/6/2020,289
4/6/2020,-1683
5/8/2020,-20679
6/5/2020,2833
7/2/2020,4846
8/7/2020,1726
9/4/2020,1583
10/2/2020,716
11/6/2020,680
12/4/2020,264
1/8/2021,-227
2/5/2021,49