date,change,Date,Neg_Count,Pos_Count,Sent_Count,Count,pos_neg,pos,neg,flat,growthgap,job_change,negcount1day,poscount1day,econcount1day,job_change1day,growthgap1day,change1day,negcount2day,poscount2day,econcount2day,change2day,negcount3day,poscount3day,econcount3day,change3day,negcount4day,poscount4day,econcount4day,change4day,negcount5day,poscount5day,econcount5day,change5day,negcount6day,poscount6day,econcount6day,change6day,negcount7day,poscount7day,econcount7day,change7day,negcount8day,poscount8day,econcount8day,change8day,negcount9day,poscount9day,econcount9day,change9day,negcount10day,poscount10day,econcount10day,change10day,negcount11day,poscount11day,econcount11day,change11day,negcount12day,poscount12day,econcount12day,change12day,negcount13day,poscount13day,econcount13day,change13day,negcount14day,poscount14day,econcount14day,negcount15day,poscount15day,econcount15day,change15day
2016-02-26,-0.007529124484916262,2016-02-26,20,15,-5,3,0,0,1,0,-0.4,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-26,-0.0004774637127578033,2016-05-26,59,61,2,20,0,0,0,1,1.8,197.0,20.0,15.0,3.0,,,-0.007529124484916262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-21,0.0006721075372058874,2016-06-21,15,5,-10,8,1,0,0,1,1.5,41.0,59.0,61.0,20.0,,,-0.0004774637127578033,20.0,15.0,3.0,-0.007529124484916262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-28,0.008536827476672617,2016-06-28,67,72,5,40,1,1,0,0,1.2,41.0,15.0,5.0,8.0,,,0.0006721075372058874,59.0,61.0,20.0,-0.0004774637127578033,20.0,15.0,3.0,-0.007529124484916262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-29,-0.007948243992606279,2016-09-29,57,51,-6,4,0,0,1,0,-0.1,143.0,67.0,72.0,40.0,,,0.008536827476672617,15.0,5.0,8.0,0.0006721075372058874,59.0,61.0,20.0,-0.0004774637127578033,20.0,15.0,3.0,-0.007529124484916262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-24,-0.0005116279069768076,2016-10-24,8,2,-6,4,0,0,0,1,-0.1,289.0,57.0,51.0,4.0,,,-0.007948243992606279,67.0,72.0,40.0,0.008536827476672617,15.0,5.0,8.0,0.0006721075372058874,59.0,61.0,20.0,-0.0004774637127578033,20.0,15.0,3.0,-0.007529124484916262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-18,-0.002601908065914973,2016-11-18,33,36,3,20,0,0,1,0,-0.7,118.0,8.0,2.0,4.0,,,-0.0005116279069768076,57.0,51.0,4.0,-0.007948243992606279,67.0,72.0,40.0,0.008536827476672617,15.0,5.0,8.0,0.0006721075372058874,59.0,61.0,20.0,-0.0004774637127578033,20.0,15.0,3.0,-0.007529124484916262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-29,0.0017685470705604317,2016-11-29,49,47,-2,23,1,0,0,1,-1.0,118.0,33.0,36.0,20.0,,,-0.002601908065914973,8.0,2.0,4.0,-0.0005116279069768076,57.0,51.0,4.0,-0.007948243992606279,67.0,72.0,40.0,0.008536827476672617,15.0,5.0,8.0,0.0006721075372058874,59.0,61.0,20.0,-0.0004774637127578033,20.0,15.0,3.0,-0.007529124484916262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-30,-0.005640030681766909,2016-11-30,15,23,8,4,0,0,1,0,-1.0,118.0,49.0,47.0,23.0,,,0.0017685470705604317,33.0,36.0,20.0,-0.002601908065914973,8.0,2.0,4.0,-0.0005116279069768076,57.0,51.0,4.0,-0.007948243992606279,67.0,72.0,40.0,0.008536827476672617,15.0,5.0,8.0,0.0006721075372058874,59.0,61.0,20.0,-0.0004774637127578033,20.0,15.0,3.0,-0.007529124484916262,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-22,0.0011016015591898607,2017-02-22,12,13,1,3,1,0,0,1,0.6,197.0,15.0,23.0,4.0,,,-0.005640030681766909,49.0,47.0,23.0,0.0017685470705604317,33.0,36.0,20.0,-0.002601908065914973,8.0,2.0,4.0,-0.0005116279069768076,57.0,51.0,4.0,-0.007948243992606279,67.0,72.0,40.0,0.008536827476672617,15.0,5.0,8.0,0.0006721075372058874,59.0,61.0,20.0,-0.0004774637127578033,20.0,15.0,3.0,-0.007529124484916262,,,,,,,,,,,,,,,,,,,,,,,
2017-03-03,0.0010496704034933034,2017-03-03,35,48,13,7,1,0,0,1,0.6,197.0,12.0,13.0,3.0,,,0.0011016015591898607,15.0,23.0,4.0,-0.005640030681766909,49.0,47.0,23.0,0.0017685470705604317,33.0,36.0,20.0,-0.002601908065914973,8.0,2.0,4.0,-0.0005116279069768076,57.0,51.0,4.0,-0.007948243992606279,67.0,72.0,40.0,0.008536827476672617,15.0,5.0,8.0,0.0006721075372058874,59.0,61.0,20.0,-0.0004774637127578033,20.0,15.0,3.0,-0.007529124484916262,,,,,,,,,,,,,,,,,,,
2017-03-28,0.008788099627041551,2017-03-28,12,20,8,2,1,1,0,0,0.6,183.0,35.0,48.0,7.0,,,0.0010496704034933034,12.0,13.0,3.0,0.0011016015591898607,15.0,23.0,4.0,-0.005640030681766909,49.0,47.0,23.0,0.0017685470705604317,33.0,36.0,20.0,-0.002601908065914973,8.0,2.0,4.0,-0.0005116279069768076,57.0,51.0,4.0,-0.007948243992606279,67.0,72.0,40.0,0.008536827476672617,15.0,5.0,8.0,0.0006721075372058874,59.0,61.0,20.0,-0.0004774637127578033,20.0,15.0,3.0,-0.007529124484916262,,,,,,,,,,,,,,,
2017-04-20,0.00508221225710014,2017-04-20,29,29,0,4,1,1,0,0,0.4,139.0,12.0,20.0,2.0,,,0.008788099627041551,35.0,48.0,7.0,0.0010496704034933034,12.0,13.0,3.0,0.0011016015591898607,15.0,23.0,4.0,-0.005640030681766909,49.0,47.0,23.0,0.0017685470705604317,33.0,36.0,20.0,-0.002601908065914973,8.0,2.0,4.0,-0.0005116279069768076,57.0,51.0,4.0,-0.007948243992606279,67.0,72.0,40.0,0.008536827476672617,15.0,5.0,8.0,0.0006721075372058874,59.0,61.0,20.0,-0.0004774637127578033,20.0,15.0,3.0,-0.007529124484916262,,,,,,,,,,,
2017-06-01,0.005744513782700396,2017-06-01,17,18,1,11,1,1,0,0,1.1,220.0,29.0,29.0,4.0,,,0.00508221225710014,12.0,20.0,2.0,0.008788099627041551,35.0,48.0,7.0,0.0010496704034933034,12.0,13.0,3.0,0.0011016015591898607,15.0,23.0,4.0,-0.005640030681766909,49.0,47.0,23.0,0.0017685470705604317,33.0,36.0,20.0,-0.002601908065914973,8.0,2.0,4.0,-0.0005116279069768076,57.0,51.0,4.0,-0.007948243992606279,67.0,72.0,40.0,0.008536827476672617,15.0,5.0,8.0,0.0006721075372058874,59.0,61.0,20.0,-0.0004774637127578033,20.0,15.0,3.0,-0.007529124484916262,,,,,,,
2017-06-23,0.0009056852332139428,2017-06-23,65,41,-24,10,1,0,0,1,1.1,141.0,17.0,18.0,11.0,,,0.005744513782700396,29.0,29.0,4.0,0.00508221225710014,12.0,20.0,2.0,0.008788099627041551,35.0,48.0,7.0,0.0010496704034933034,12.0,13.0,3.0,0.0011016015591898607,15.0,23.0,4.0,-0.005640030681766909,49.0,47.0,23.0,0.0017685470705604317,33.0,36.0,20.0,-0.002601908065914973,8.0,2.0,4.0,-0.0005116279069768076,57.0,51.0,4.0,-0.007948243992606279,67.0,72.0,40.0,0.008536827476672617,15.0,5.0,8.0,0.0006721075372058874,59.0,61.0,20.0,-0.0004774637127578033,20.0,15.0,-0.007529124484916262,,,,
2017-06-26,-0.0025010250102501584,2017-06-26,26,33,7,2,0,0,1,0,1.1,141.0,65.0,41.0,10.0,108.0,-0.4,0.0009056852332139428,17.0,18.0,11.0,0.005744513782700396,29.0,29.0,4.0,0.00508221225710014,12.0,20.0,2.0,0.008788099627041551,35.0,48.0,7.0,0.0010496704034933034,12.0,13.0,3.0,0.0011016015591898607,15.0,23.0,4.0,-0.005640030681766909,49.0,47.0,23.0,0.0017685470705604317,33.0,36.0,20.0,-0.002601908065914973,8.0,2.0,4.0,-0.0005116279069768076,57.0,51.0,4.0,-0.007948243992606279,67.0,72.0,40.0,0.008536827476672617,15.0,5.0,8.0,0.0006721075372058874,59.0,61.0,-0.0004774637127578033,20.0,15.0,3.0,-0.007529124484916262
2017-07-06,-0.00553970813179534,2017-07-06,58,39,-19,6,0,0,1,0,0.9,141.0,26.0,33.0,2.0,197.0,1.8,-0.0025010250102501584,65.0,41.0,10.0,0.0009056852332139428,17.0,18.0,11.0,0.005744513782700396,29.0,29.0,4.0,0.00508221225710014,12.0,20.0,2.0,0.008788099627041551,35.0,48.0,7.0,0.0010496704034933034,12.0,13.0,3.0,0.0011016015591898607,15.0,23.0,4.0,-0.005640030681766909,49.0,47.0,23.0,0.0017685470705604317,33.0,36.0,20.0,-0.002601908065914973,8.0,2.0,4.0,-0.0005116279069768076,57.0,51.0,4.0,-0.007948243992606279,67.0,72.0,40.0,0.008536827476672617,15.0,5.0,0.0006721075372058874,59.0,61.0,20.0,-0.0004774637127578033
2017-10-05,0.004417448923246843,2017-10-05,14,18,4,12,1,1,0,0,-1.4,190.0,58.0,39.0,6.0,41.0,1.5,-0.00553970813179534,26.0,33.0,2.0,-0.0025010250102501584,65.0,41.0,10.0,0.0009056852332139428,17.0,18.0,11.0,0.005744513782700396,29.0,29.0,4.0,0.00508221225710014,12.0,20.0,2.0,0.008788099627041551,35.0,48.0,7.0,0.0010496704034933034,12.0,13.0,3.0,0.0011016015591898607,15.0,23.0,4.0,-0.005640030681766909,49.0,47.0,23.0,0.0017685470705604317,33.0,36.0,20.0,-0.002601908065914973,8.0,2.0,4.0,-0.0005116279069768076,57.0,51.0,4.0,-0.007948243992606279,67.0,72.0,0.008536827476672617,15.0,5.0,8.0,0.0006721075372058874
2017-10-12,-7.85360873321693e-05,2017-10-12,31,22,-9,5,0,0,0,1,-1.4,42.0,14.0,18.0,12.0,41.0,1.2,0.004417448923246843,58.0,39.0,6.0,-0.00553970813179534,26.0,33.0,2.0,-0.0025010250102501584,65.0,41.0,10.0,0.0009056852332139428,17.0,18.0,11.0,0.005744513782700396,29.0,29.0,4.0,0.00508221225710014,12.0,20.0,2.0,0.008788099627041551,35.0,48.0,7.0,0.0010496704034933034,12.0,13.0,3.0,0.0011016015591898607,15.0,23.0,4.0,-0.005640030681766909,49.0,47.0,23.0,0.0017685470705604317,33.0,36.0,20.0,-0.002601908065914973,8.0,2.0,4.0,-0.0005116279069768076,57.0,51.0,-0.007948243992606279,67.0,72.0,40.0,0.008536827476672617
2017-10-18,-0.0007033997655334381,2017-10-18,22,47,25,2,0,0,0,1,-1.4,42.0,31.0,22.0,5.0,143.0,-0.1,-7.85360873321693e-05,14.0,18.0,12.0,0.004417448923246843,58.0,39.0,6.0,-0.00553970813179534,26.0,33.0,2.0,-0.0025010250102501584,65.0,41.0,10.0,0.0009056852332139428,17.0,18.0,11.0,0.005744513782700396,29.0,29.0,4.0,0.00508221225710014,12.0,20.0,2.0,0.008788099627041551,35.0,48.0,7.0,0.0010496704034933034,12.0,13.0,3.0,0.0011016015591898607,15.0,23.0,4.0,-0.005640030681766909,49.0,47.0,23.0,0.0017685470705604317,33.0,36.0,20.0,-0.002601908065914973,8.0,2.0,-0.0005116279069768076,57.0,51.0,4.0,-0.007948243992606279
2017-11-02,0.0006992735324966006,2017-11-02,29,37,8,7,1,0,0,1,-0.1,42.0,22.0,47.0,2.0,289.0,-0.1,-0.0007033997655334381,31.0,22.0,5.0,-7.85360873321693e-05,14.0,18.0,12.0,0.004417448923246843,58.0,39.0,6.0,-0.00553970813179534,26.0,33.0,2.0,-0.0025010250102501584,65.0,41.0,10.0,0.0009056852332139428,17.0,18.0,11.0,0.005744513782700396,29.0,29.0,4.0,0.00508221225710014,12.0,20.0,2.0,0.008788099627041551,35.0,48.0,7.0,0.0010496704034933034,12.0,13.0,3.0,0.0011016015591898607,15.0,23.0,4.0,-0.005640030681766909,49.0,47.0,23.0,0.0017685470705604317,33.0,36.0,-0.002601908065914973,8.0,2.0,4.0,-0.0005116279069768076
2018-02-13,0.00769026783346582,2018-02-13,9,26,17,3,1,1,0,0,1.3,81.0,29.0,37.0,7.0,118.0,-0.7,0.0006992735324966006,22.0,47.0,2.0,-0.0007033997655334381,31.0,22.0,5.0,-7.85360873321693e-05,14.0,18.0,12.0,0.004417448923246843,58.0,39.0,6.0,-0.00553970813179534,26.0,33.0,2.0,-0.0025010250102501584,65.0,41.0,10.0,0.0009056852332139428,17.0,18.0,11.0,0.005744513782700396,29.0,29.0,4.0,0.00508221225710014,12.0,20.0,2.0,0.008788099627041551,35.0,48.0,7.0,0.0010496704034933034,12.0,13.0,3.0,0.0011016015591898607,15.0,23.0,4.0,-0.005640030681766909,49.0,47.0,0.0017685470705604317,33.0,36.0,20.0,-0.002601908065914973
2018-04-06,-0.014046010173866785,2018-04-06,39,51,12,30,0,0,1,0,1.0,195.0,9.0,26.0,3.0,118.0,-1.0,0.00769026783346582,29.0,37.0,7.0,0.0006992735324966006,22.0,47.0,2.0,-0.0007033997655334381,31.0,22.0,5.0,-7.85360873321693e-05,14.0,18.0,12.0,0.004417448923246843,58.0,39.0,6.0,-0.00553970813179534,26.0,33.0,2.0,-0.0025010250102501584,65.0,41.0,10.0,0.0009056852332139428,17.0,18.0,11.0,0.005744513782700396,29.0,29.0,4.0,0.00508221225710014,12.0,20.0,2.0,0.008788099627041551,35.0,48.0,7.0,0.0010496704034933034,12.0,13.0,3.0,0.0011016015591898607,15.0,23.0,-0.005640030681766909,49.0,47.0,23.0,0.0017685470705604317
2018-05-08,0.0015759849906191966,2018-05-08,6,7,1,1,1,0,0,1,1.5,153.0,39.0,51.0,30.0,118.0,-1.0,-0.014046010173866785,9.0,26.0,3.0,0.00769026783346582,29.0,37.0,7.0,0.0006992735324966006,22.0,47.0,2.0,-0.0007033997655334381,31.0,22.0,5.0,-7.85360873321693e-05,14.0,18.0,12.0,0.004417448923246843,58.0,39.0,6.0,-0.00553970813179534,26.0,33.0,2.0,-0.0025010250102501584,65.0,41.0,10.0,0.0009056852332139428,17.0,18.0,11.0,0.005744513782700396,29.0,29.0,4.0,0.00508221225710014,12.0,20.0,2.0,0.008788099627041551,35.0,48.0,7.0,0.0010496704034933034,12.0,13.0,0.0011016015591898607,15.0,23.0,4.0,-0.005640030681766909
2018-05-25,0.0,2018-05-25,36,56,20,4,0,0,0,1,1.5,153.0,6.0,7.0,1.0,197.0,0.6,0.0015759849906191966,39.0,51.0,30.0,-0.014046010173866785,9.0,26.0,3.0,0.00769026783346582,29.0,37.0,7.0,0.0006992735324966006,22.0,47.0,2.0,-0.0007033997655334381,31.0,22.0,5.0,-7.85360873321693e-05,14.0,18.0,12.0,0.004417448923246843,58.0,39.0,6.0,-0.00553970813179534,26.0,33.0,2.0,-0.0025010250102501584,65.0,41.0,10.0,0.0009056852332139428,17.0,18.0,11.0,0.005744513782700396,29.0,29.0,4.0,0.00508221225710014,12.0,20.0,2.0,0.008788099627041551,35.0,48.0,0.0010496704034933034,12.0,13.0,3.0,0.0011016015591898607
2018-06-20,-0.0010858942339014538,2018-06-20,28,32,4,13,0,0,0,1,1.6,270.0,36.0,56.0,4.0,197.0,0.6,0.0,6.0,7.0,1.0,0.0015759849906191966,39.0,51.0,30.0,-0.014046010173866785,9.0,26.0,3.0,0.00769026783346582,29.0,37.0,7.0,0.0006992735324966006,22.0,47.0,2.0,-0.0007033997655334381,31.0,22.0,5.0,-7.85360873321693e-05,14.0,18.0,12.0,0.004417448923246843,58.0,39.0,6.0,-0.00553970813179534,26.0,33.0,2.0,-0.0025010250102501584,65.0,41.0,10.0,0.0009056852332139428,17.0,18.0,11.0,0.005744513782700396,29.0,29.0,4.0,0.00508221225710014,12.0,20.0,0.008788099627041551,35.0,48.0,7.0,0.0010496704034933034
2018-08-24,0.0037355118000279054,2018-08-24,63,43,-20,30,1,1,0,0,-1.4,149.0,28.0,32.0,13.0,183.0,0.6,-0.0010858942339014538,36.0,56.0,4.0,0.0,6.0,7.0,1.0,0.0015759849906191966,39.0,51.0,30.0,-0.014046010173866785,9.0,26.0,3.0,0.00769026783346582,29.0,37.0,7.0,0.0006992735324966006,22.0,47.0,2.0,-0.0007033997655334381,31.0,22.0,5.0,-7.85360873321693e-05,14.0,18.0,12.0,0.004417448923246843,58.0,39.0,6.0,-0.00553970813179534,26.0,33.0,2.0,-0.0025010250102501584,65.0,41.0,10.0,0.0009056852332139428,17.0,18.0,11.0,0.005744513782700396,29.0,29.0,0.00508221225710014,12.0,20.0,2.0,0.008788099627041551
